-----------New run started - 2018-03-19 16:49:24.840984 +0100 CET m=+0.054572908 -----------------------New run started - 2018-03-19 16:50:13.308092 +0100 CET m=+0.047779781 ------------0.0258;68.67 -57.42 19.26 0.18 0.002 29.5 2.80
0.0231;16.28 -15.49 17.68 0.24 0.003 12.5 0.80
0.0207;65.92 -61.45 18.38 0.10 0.005 9.8 3.54
0.0207;28.17 -27.24 17.50 0.07 0.005 7.8 1.32
0.0162;88.82 -81.09 19.14 0.08 0.007 19.5 4.54
0.0160;93.50 -87.51 18.84 0.06 0.008 14.8 3.88
0.0156;39.81 -30.09 19.14 0.29 0.009 21.8 3.36
0.0130;37.23 -36.61 17.60 0.08 0.005 9.2 0.11
